"""Modelo""";Sistema Operacional;Disponibilidade;Dimensões;Peso; MELHOR PREÇO ;Faixa de Preço; pre�o min ; pre�o max ;Custo-benefício;Hardware;#NOME?;- Câmera;#NOME?;Gsm;Dual Sim;Sim Card;Chipset;Processador;64 Bit;GPU;RAM;Memória Max;Memória Expansível;Polegadas;Resolução;Densidade de pixels;Tipo;Touchscreen;Multitouch;Cores;Megapixel;Resolução;Estabilização;Autofoco;Foco por toque;Flash;HDR;Localização;Câmera Frontal;Resolução da gravação;FPS da gravação;Stereo Sound Rec;Wi-Fi;Bluetooth;USB;NFC;GPS;GPRS;EDGE;UMTS;HSDPA;HSUPA;HSPA+;LTE;Velocidade máxima de download;Velocidade máxima de upload;Acelerômetro;Proximidade;Player de música;Player de vídeo;Radio FM;Tv;Saída de TV;Browser;Flash Player;Vibração;Viva Voz;Toques;Toques personalizados;Outros;Tipo;Aperture Size;Detecção facial;Detecção de sorriso;Auto focagem de vídeo;Estabilização de vídeo;Vídeo Câmera Frontal;IRDA;Mic. de Redução de Ruído;Ampere;SAR US;Giroscópio;Bússola;Impressão digital;Resistência a água;Proteção;Slow Motion;Foto em Vídeo;Opções da Câmera Frontal;Zoom Ótico;Vídeo HDR;Autonomia conversação;Autonomia em standby;Tamanho do Sensor;Barômetro;Dual Rec;SAR EU;Dual Shot;Gesto;Preço Extra;Segundo Display;Teclado Qwerty;MMS;Email;Câmera;Preço Magazine Luiza;Preço Kabum;Preço Carrefour;Code;Altímetro;Preço Casas Bahia;Preço Submarino;Preço FastShop;Preço Americanas;Preço Walmart;Preço Colombo;Preço Pontofrio;Personalizzazione;Display Curvo;Preço Apple;Antena;Blink Detection;ROM;Temperatura;Umidade;Foto 3D;Java;Vídeo 3D;3D;HSCSD;UMA;Satelital
Xiaomi Mi 5c;Android 7.1 MIUI v8 Nougat;2017/1;144.4 x 69.7 x 7.1 mm;135 gramas; R$-   ;; R$-   ; R$-   ;;08/out;8.3 / 10;7.5 / 10;6.9 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Xiaomi Surge S1;Quad-core 2.2 GHz Cortex-A53 + Quad-core 1.4 GHz Cortex-A53;ok;Mali-T860 MP4;3 GB;64 GB;X;5.15;3968 x 2976 pixel;428 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n/ac;ok 4.1 com A2DP/LE;ok Type-C 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2.2;ok;ok;ok;ok;Full HD, 30fps;;ok;2860 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sony Xperia XZ Premium;Android 7.1 Xperia UI Nougat;2017/2;156 x 77 x 7.9 mm;195 gramas; R$2.599,00 ;R$ 2.599 - R$ 3.999; R$2.599,00 ; R$3.999,00 ;8.1 / 10;9.6 / 10;10/out;9.3 / 10;9.2 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Qualcomm MSM8998 Snapdragon 835;Quad-core 2.45 GHz Kryo + Quad-core 1.9 GHz Kryo;ok;Adreno 540;4 GB;64 GB;ok Micro SD Até 256 GB;5.5;5056 x 3792 pixel;801 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;19 Mp;;ok Ótica;ok;ok;ok LED;ok;ok;ok 13 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE/aptX;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok H.263/H.264/WMV;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotDLNA;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;3230 Mah;;ok;ok;ok;ok;ok Gorilla Glass 5;ok 960 fps;ok;;;ok;;;1/2.3 ;ok;;;;;;;;;;;R$3.068;;;;;;;;;;;;;;;;;;;;;;;;;;
Sony Xperia XZs;Android 7.0 Nougat;2017/2;146 x 72 x 8.1 mm;161 gramas; R$2.399,00 ;R$ 2.399 - R$ 2.479; R$2.399,00 ; R$2.479,00 ;;8.6 / 10;8.3 / 10;9.3 / 10;7.5 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Qualcomm Snapdragon 820 MSM8996;Dual-core 2.15 GHz Kryo + Dual-core 1.6 GHz Kryo;ok;Adreno 530;4 GB;32 GB;ok Micro SD Até 256 GB;5.2;1080 x 1920 pixel;424 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;19 Mp;;ok Ótica;ok;ok;ok LED;ok;ok;ok 13 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE/aptX;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;450 Mbps;50 Mbps;ok;ok;ok;ok H.263/H.264/WMV;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2900 Mah;;ok;ok;ok;ok;;;ok;Autofocus;;;;;1/2.3 ;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sony Xperia XA1 Ultra;Android 7.0 Nougat;2017/2;165 x 79 x 8.1 mm;188 gramas; R$1.498,00 ;R$ 1.498 - R$ 2.341; R$1.498,00 ; R$2.341,00 ;6.8 / 10;8.2 / 10;8.1 / 10;9.4 / 10;6.4 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;MediaTek MT6757 Helio P20;Quad-core 2.3 GHz Cortex-A53 + Quad-core 1.6 GHz Cortex-A53;ok;Mali-T880MP2;4 GB;64 GB;ok Micro SD Até 256 GB;6;5520 x 4140 pixel;367 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;23 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 16 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE/aptX;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok H.263/H.264/WMV;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotDLNA;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2700 Mah;;;ok;;;ok Gorilla Glass;;ok;Flash LED/Autofocus/OIS;;;;;1/2.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sony Xperia XA1;Android 7.0 Nougat;2017/2;145 x 67 x 8 mm;143 gramas; R$1.169,00 ;R$ 1.169 - R$ 1.634; R$1.169,00 ; R$1.634,00 ;6.6 / 10;7.4 / 10;5.5 / 10;09/out;6.3 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;MediaTek MT6757 Helio P20;Quad-core 2.3 GHz Cortex-A53 + Quad-core 1.6 GHz Cortex-A53;ok;Mali-T880MP2;3 GB;32 GB;ok Micro SD Até 256 GB;5;5520 x 4140 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;23 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;ok;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE/aptX;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2300 Mah;;;ok;;;ok Gorilla Glass;;ok;Autofocus;;;600 minutos;603 horas;1/2.3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bluboo Dual;Android 6.0 Marshmallow;2017/1;151 x 76.3 x 8 mm;153 gramas; R$-   ;; R$-   ; R$-   ;;6.8 / 10;8.1 / 10;7.5 / 10;3.1 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6737 Cortex-A53;1.5 GHz Quad Core;ok;Mali-T720 MP1;2 GB;16 GB;ok Micro SD;5.5;4160 x 3120 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;X;ok 802.11 a/b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/MPEG-4;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi hotspot;Litio;;ok;;;;;;;3000 Mah;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Blade V8 Mini;Android 7.0 Nougat;2017/1;143.5 x 70 x 8.9 mm;; R$-   ;; R$-   ; R$-   ;;7.1 / 10;5.5 / 10;7.5 / 10;6.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 435 MSM8940;Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 Cortex-A53;ok;Adreno 505;2 GB;16 GB;ok Micro SD Até 128 GB;5;4160 x 3120 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;ok;X;720p HD, 30fps;;ok;2800 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG G6;Android 7.0 LG UX 6.0 UI Nougat;2017/2;148.9 x 71.9 x 7.9 mm;163 gramas; R$1.799,00 ;R$ 1.799 - R$ 3.999; R$1.799,00 ; R$3.999,00 ;7.4 / 10;8.8 / 10;9.1 / 10;8.4 / 10;8.4 / 10;ok Quad Band (850/900/1800/1900);X Também disponível Dual SIM;Nano;Qualcomm Snapdragon 821 MSM8996;Dual-core 2.35 GHz Kryo + Dual-core 1.6 GHz Kryo;ok;Adreno 530;4 GB;32 GB;ok Micro SD Até 256 GB;5.7;4160 x 3120 pixel;564 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE/aptX;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;450 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/MKV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotDLNAUSB OTG;Litio;F 1.8;ok;ok;ok;ok;Full HD, 30fps;;ok;3300 Mah;;ok;ok;ok;ok;ok Gorilla Glass 3;ok 120 fps;ok;;;ok;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motorola Moto G5 Plus;Android 7.0 Nougat;2017/2;150.2 x 74 x 7.7 mm;155 gramas; R$879,00 ;R$ 879 - R$ 1.682; R$879,00 ; R$1.682,00 ;9.2 / 10;8.4 / 10;8.3 / 10;08/out;7.8 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;2 GB;32 GB;ok Micro SD Até 128 GB;5.2;4032 x 3024 pixel;424 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;HDTV;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 1.7;ok;;ok;ok;Full HD, 30fps;;ok;3000 Mah;;ok;X;ok;;ok Gorilla Glass 3;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Motorola Moto G5;Android 7.0 Nougat;2017/2;144.3 x 73 x 9.5 mm;144.5 gramas; R$729,00 ;R$ 729 - R$ 1.189; R$729,00 ; R$1.189,00 ;9.2 / 10;08/out;8.3 / 10;7.5 / 10;6.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 430 MSM8937;Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53;ok;Adreno 505;2 GB;32 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB;5;4160 x 3120 pixel;441 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2800 Mah;;ok;X;ok;;;ok;ok;HDR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 3310 2017;Nokia Series 30 plus;2017/2;115.6 x 51 x 12.8 mm;; R$-   ;; R$-   ; R$-   ;;2.2 / 10;1.5 / 10;4.7 / 10;0 / 10;ok Dual Band (900/1800);X Também disponível Dual SIM;Mini (classic);;1 Core;X;;;;ok Micro SD Atè 32 GB;2.4;1600 x 1200 pixel;167 ppi;TFT LCD;X;X;65 mil;2 Mp;;;X;X;ok LED;X;X;X;ok;;X;X;ok 3.0;ok Micro USB 2.0;X;X;ok;ok;X;X;X;X;X;-;-;X;X;X;X;ok;X;;X;X;ok;ok;ok Polifônicos;ok;;Litio;;X;;X;X;;;;1200 Mah;;X;X;;;;;;;;;1326 minutos;744 horas;;;;;;;;;ok;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 3;Android 7.0 Nougat;2017/2;143.4 x 71.4 x 8.48 mm;; R$749,00 ;R$ 749 - R$ 789; R$749,00 ; R$789,00 ;5.1 / 10;5.7 / 10;5.5 / 10;6.3 / 10;2.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6737;1.3 GHz Quad Core;ok;Mali-T720MP2;2 GB;16 GB;ok Micro SD Atè 128 GB;5;3264 x 2448 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;;ok LED;;ok;ok 8 Mp;ok;;;ok;ok;ok Micro USB 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 2;X;;;;;;ok;2650 Mah;;ok;ok;ok;;ok Gorilla Glass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Blade A520;Android 7.0 Nougat;2017/1;144 x 71 x 8.4 mm;130 gramas; R$-   ;; R$-   ; R$-   ;;6.4 / 10;5.5 / 10;07/out;04/out;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6737 Cortex-A53;1.3 GHz 8 Core;ok;Mali-T720 MP2;2 GB;16 GB;ok Micro SD Até 128 GB;5;3264 x 2448 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;ok;X;;;;2400 Mah;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei P10;Android 7.0 Emotion UI 5.1 Nougat;2017/2;145.3 x 69.3 x 6.98 mm;145 gramas; R$-   ;; R$-   ; R$-   ;;8.9 / 10;8.3 / 10;9.4 / 10;8.4 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei Hisilicon Kirin 960;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G71 MP8;4 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 256 GB;5.1;4992 x 3744 pixel;432 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;20 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou/Galileo;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;LiPo;F 2.2;ok;;ok;ok;1080x1820 pixel, 30fps;;ok;3200 Mah;Head 1.49 W/kg Body 0.54 W/kg;ok;ok;ok;;ok Gorilla Glass 5;;;;;;;;;;;Head 0.96 W/kg Body 0.99 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcatel A3 XL;Android 7.0 Nougat;2017/2;165 x 82.5 x 7.9 mm;159 gramas; R$449,00 ;R$ 449 - R$ 1.022; R$449,00 ; R$1.022,00 ;6.6 / 10;5.8 / 10;05/out;07/out;2.2 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Micro;MediaTek MT8735B Cortex-A53;1.1 GHz Quad Core;ok;Mali-T720 MP2;2 GB;16 GB;ok Micro SD Até 32 GB;6;3264 x 2448 pixel;245 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/MPEG-4;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;;;720p HD, 30fps;;;3000 Mah;;X;X;ok;;;;;Flash LED;;;900 minutos;320 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcatel U5;Android 6.0 Marshmallow;2017/2;140.7 x 71.8 x 9.95 mm;135 gramas; R$-   ;; R$-   ; R$-   ;;5.1 / 10;4.7 / 10;5.8 / 10;02/out;ok Quad Band (850/900/1800/1900);X Também disponível Dual SIM;Micro;MediaTek MT6737M Cortex-A53;1.1 GHz Quad Core;ok;Mali-T720 MP2;1 GB;8 GB;ok Micro SD Até 32 GB;5;2594 x 1944 pixel;196 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;5 Mp;;;ok;ok;ok LED;ok;ok;ok 2 Mp;ok HD 720p;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/MPEG-4;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;;;;;;2050 Mah;;X;X;;;;;;Flash LED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Blade V8 Lite;Android 7.0 Nougat;2017/1;143 x 71 x 8 mm;; R$-   ;; R$-   ; R$-   ;;6.2 / 10;5.5 / 10;07/out;04/out;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6750;Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.0 GHz Cortex-A53;ok;Mali-T860 MP2;2 GB;16 GB;ok Micro SD Até 128 GB;5;3264 x 2448 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;ok;X;720p HD, 30fps;;;2500 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 5;Android 7.1.1 Nougat;2017/2;149.7 x 72.5 x 8.05 mm;; R$989,00 ;R$ 989 - R$ 1.029; R$989,00 ; R$1.029,00 ;;7.1 / 10;5.5 / 10;7.5 / 10;6.6 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Qualcomm Snapdragon 430 MSM8937;Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53;ok;Adreno 505;2 GB;16 GB;ok Micro SD Atè 128 GB;5.2;4160 x 3120 pixel;282 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP;ok Micro USB 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 2;;;;;Full HD, 30fps;;ok;3000 Mah;;ok;ok;ok;;ok Gorilla Glass;;;;;;;;01/mar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcatel A5 LED;Android 6.0 Marshmallow;2017/2;146 x 72.1 x 7.7 mm;; R$549,00 ;R$ 549 - R$ 1.102; R$549,00 ; R$1.102,00 ;07/out;6.4 / 10;5.5 / 10;8.1 / 10;4.8 / 10;ok Quad Band (850/900/1800/1900);X;Nano;MediaTek MT6753 Cortex-A53;1.5 GHz 8 Core;ok;Mali-T720 MP3;2 GB;16 GB;ok Micro SD Até 32 GB;5.2;4920 x 3264 pixel;282 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/MPEG-4;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;ok;;720p HD, 30fps;;;2800 Mah;;X;ok;ok;;;;;Flash LED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei P10 Plus;Android 7.0 Emotion UI 5.1 Nougat;2017/2;153.5 x 74.2 x 7 mm;165 gramas; R$-   ;; R$-   ; R$-   ;6.5 / 10;9.1 / 10;09/out;9.4 / 10;8.6 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei Hisilicon Kirin 960;4x2.4 GHz Cortex-A73 + 4x1.8 GHz Cortex-A53;ok;Mali-G71 MP8;6 GB;128 GB;ok Micro SD Até 256 GB;5.5;4992 x 3744 pixel;534 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;20 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264;X;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;LiPo;;ok;;ok;ok;1080x1820 pixel, 30fps;;ok;3750 Mah;;ok;ok;ok;;ok Gorilla Glass 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcatel A3;Android 6.0 Marshmallow;2017/2;142 x 70.5 x 8.65 mm;135 gramas; R$379,00 ;R$ 379 - R$ 815; R$379,00 ; R$815,00 ;7.9 / 10;5.7 / 10;5.5 / 10;6.6 / 10;2.3 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;MediaTek MT6737 Cortex-A53;1.3 GHz Quad Core;ok;Mali-T720 MP2;1 GB;16 GB;ok Micro SD Até 32 GB;5;2448 x 3264 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/MPEG-4;ok RDS;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;;ok;;;;720p HD, 30fps;;;2460 Mah;;X;X;ok;;;;;Flash LED;;;840 minutos;384 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
